p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
18,21,Ar,0,19,20,K,555,0.0000108579,0.0000125085,0.00200032,0.0000139442,2025-09-02
18,21,Ar,0,19,20,K,556,0.00000883129,0.0000116094,0.0019975,0.0000173677,2025-09-02
18,21,Ar,0,19,20,K,557,0.00000700645,0.0000106927,0.00199528,0.0000203102,2025-09-02
18,21,Ar,0,19,20,K,558,0.00000538608,0.00000975802,0.00199376,0.0000218791,2025-09-02
18,21,Ar,0,19,20,K,559,0.00000397295,0.00000880535,0.001993,0.0000261336,2025-09-02
18,21,Ar,0,19,20,K,560,0.0000027698,0.00000783451,0.00199298,0.0000330739,2025-09-02
18,21,Ar,0,19,20,K,561,0.00000177942,0.00000684538,0.00199357,0.0000170187,2025-09-02
18,21,Ar,0,19,20,K,562,0.00000100455,0.00000583786,0.00199428,0.0000199334,2025-09-02
18,21,Ar,0,19,20,K,563,0.000000447944,0.00000481188,0.00199432,0.0000214929,2025-09-02
18,21,Ar,0,19,20,K,564,0.000000112269,0.00000376742,0.00199777,0.0000257244,2025-09-02
18,21,Ar,0,19,20,K,565,0,0,0.00200465,0.0000326277,2025-09-02

